# Observert dognnedbor, lygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41480 (Aseral - Kyrkjebygda, 19.4 km), reserve SN42520 (Risnes i Fjotland, 25.1 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2018-06-03;0.0;SN41480
2018-06-04;0.0;SN41480
2018-06-05;0.0;SN41480
2018-06-06;0.0;SN41480
2018-06-07;0.0;SN41480
2018-06-08;0.0;SN41480
2018-06-09;0.1;SN41480
2018-06-10;0.1;SN41480
2018-06-11;10.1;SN41480
2018-06-12;0.1;SN41480
2018-06-13;0.1;SN41480
2018-06-14;0.8;SN41480
2018-06-15;20.9;SN41480
2018-06-16;1.6;SN41480
2018-06-17;9.1;SN41480
2018-06-18;2.2;SN41480
2018-06-19;7.6;SN41480
2018-06-20;1.1;SN41480
2018-06-21;11.9;SN41480
2018-06-22;0.0;SN41480
2018-06-23;0.0;SN41480
2018-06-24;0.0;SN41480
2018-06-25;0.0;SN41480
2018-06-26;0.0;SN41480
2018-06-27;0.0;SN41480
2018-06-28;0.0;SN41480
2018-06-29;0.0;SN41480
2018-06-30;0.0;SN41480
2018-07-01;0.0;SN41480
2018-07-02;0.0;SN41480
2018-07-03;0.0;SN41480
2018-07-04;0.0;SN41480
2018-07-05;0.0;SN41480
2018-07-06;0.1;SN41480
2018-07-07;0.0;SN41480
2018-07-08;0.0;SN41480
2018-07-09;0.0;SN41480
2018-07-10;0.2;SN41480
2018-07-11;0.2;SN41480
2018-07-12;0.0;SN41480
2018-07-13;0.0;SN41480
2018-07-14;0.0;SN41480
2018-07-15;0.0;SN41480
2018-07-16;0.0;SN41480
2018-07-17;0.0;SN41480
2018-07-18;0.0;SN41480
2018-07-19;0.0;SN41480
2018-07-20;0.0;SN41480
2018-07-21;0.0;SN41480
2018-07-22;0.0;SN41480
2018-07-23;0.0;SN41480
2018-07-24;0.0;SN41480
2018-07-25;1.3;SN41480
2018-07-26;0.0;SN41480
2018-07-27;0.0;SN41480
2018-07-28;0.0;SN41480
2018-07-29;27.9;SN41480
2018-07-30;2.2;SN41480
2018-07-31;5.8;SN41480
2018-08-01;26.3;SN41480
2018-08-02;0.0;SN41480
2018-08-03;0.1;SN41480
2018-08-04;0.4;SN41480
2018-08-05;0.0;SN41480
2018-08-06;0.0;SN41480
2018-08-07;5.1;SN41480
2018-08-08;6.4;SN41480
2018-08-09;5.5;SN41480
2018-08-10;22.3;SN41480
2018-08-11;33.5;SN41480
2018-08-12;0.0;SN41480
2018-08-13;0.0;SN41480
2018-08-14;0.0;SN41480
2018-08-15;0.0;SN41480
2018-08-16;15.8;SN41480
2018-08-17;24.4;SN41480
2018-08-18;8.9;SN41480
2018-08-19;5.0;SN41480
2018-08-20;0.0;SN41480
