# Observert dognnedbor, sygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN39150 (Kristiansand - Somskleiva, 12.7 km), reserve SN39040 (Kjevik, 15.0 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2018-06-09;0.0;SN39150
2018-06-10;0.0;SN39150
2018-06-11;4.2;SN39150
2018-06-12;0.1;SN39150
2018-06-13;0.0;SN39150
2018-06-14;0.1;SN39150
2018-06-15;24.2;SN39150
2018-06-16;0.0;SN39150
2018-06-17;11.8;SN39150
2018-06-18;2.2;SN39150
2018-06-19;6.5;SN39150
2018-06-20;0.0;SN39150
2018-06-21;17.8;SN39150
2018-06-22;0.1;SN39150
2018-06-23;0.0;SN39150
2018-06-24;0.0;SN39150
2018-06-25;0.0;SN39150
2018-06-26;0.0;SN39150
2018-06-27;7.0;SN39150
2018-06-28;0.0;SN39150
2018-06-29;0.0;SN39150
2018-06-30;0.0;SN39150
2018-07-01;0.0;SN39150
2018-07-02;0.0;SN39150
2018-07-03;0.0;SN39150
2018-07-04;0.0;SN39150
2018-07-05;0.0;SN39150
2018-07-06;0.0;SN39150
2018-07-07;0.0;SN39150
2018-07-08;0.0;SN39150
2018-07-09;0.0;SN39150
2018-07-10;5.0;SN39150
2018-07-11;0.0;SN39150
2018-07-12;0.0;SN39150
2018-07-13;0.0;SN39150
2018-07-14;0.0;SN39150
2018-07-15;0.0;SN39150
2018-07-16;0.0;SN39150
2018-07-17;0.0;SN39150
2018-07-18;0.0;SN39150
2018-07-19;0.0;SN39150
2018-07-20;0.0;SN39150
2018-07-21;0.0;SN39150
2018-07-22;0.0;SN39150
2018-07-23;0.0;SN39150
2018-07-24;0.0;SN39150
2018-07-25;0.0;SN39150
2018-07-26;0.0;SN39150
2018-07-27;0.0;SN39150
2018-07-28;0.0;SN39150
2018-07-29;5.1;SN39150
2018-07-30;0.5;SN39150
2018-07-31;3.9;SN39150
2018-08-01;13.1;SN39150
2018-08-02;0.0;SN39150
2018-08-03;0.0;SN39150
2018-08-04;0.0;SN39150
2018-08-05;0.0;SN39150
2018-08-06;0.0;SN39150
2018-08-07;3.9;SN39150
2018-08-08;0.0;SN39150
2018-08-09;5.4;SN39150
2018-08-10;15.5;SN39150
2018-08-11;10.2;SN39150
2018-08-12;0.0;SN39150
2018-08-13;0.0;SN39150
2018-08-14;2.6;SN39150
2018-08-15;0.0;SN39150
2018-08-16;6.0;SN39150
2018-08-17;9.8;SN39150
2018-08-18;3.7;SN39150
2018-08-19;1.3;SN39150
2018-08-20;2.3;SN39150
2018-08-21;0.0;SN39150
2018-08-22;5.6;SN39150
2018-08-23;1.2;SN39150
2018-08-24;1.7;SN39150
2018-08-25;3.1;SN39150
2018-08-26;0.0;SN39150
2018-08-27;0.2;SN39150
2018-08-28;40.0;SN39150
2018-08-29;0.0;SN39150
2018-08-30;4.2;SN39150
2018-08-31;0.0;SN39150
2019-06-01;6.0;SN39150
2019-06-02;0.5;SN39150
2019-06-03;2.6;SN39150
2019-06-04;0.0;SN39150
2019-06-05;10.4;SN39150
2019-06-06;0.2;SN39150
2019-06-07;10.2;SN39150
2019-06-08;0.6;SN39150
2019-06-09;17.3;SN39150
2019-06-10;0.5;SN39150
2019-06-11;0.0;SN39150
2019-06-12;32.0;SN39150
2019-06-13;8.4;SN39150
2019-06-14;7.9;SN39150
2019-06-15;0.0;SN39150
2019-06-16;6.8;SN39150
