# Observert dognnedbor, audna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41175 (Laudal - Kleiven, 2.4 km), reserve SN41860 (Kvineshei - Sorhelle, 24.6 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2018-06-04;0.0;SN41175
2018-06-05;0.0;SN41175
2018-06-06;0.0;SN41175
2018-06-07;0.0;SN41175
2018-06-08;0.0;SN41175
2018-06-09;0.0;SN41175
2018-06-10;0.1;SN41175
2018-06-11;5.1;SN41175
2018-06-12;0.7;SN41175
2018-06-13;0.0;SN41175
2018-06-14;0.6;SN41175
2018-06-15;17.2;SN41175
2018-06-16;0.1;SN41175
2018-06-17;8.1;SN41175
2018-06-18;3.2;SN41175
2018-06-19;3.3;SN41175
2018-06-20;0.9;SN41175
2018-06-21;19.2;SN41175
2018-06-22;0.0;SN41175
2018-06-23;0.0;SN41175
2018-06-24;0.0;SN41175
2018-06-25;0.0;SN41175
2018-06-26;0.0;SN41175
2018-06-27;0.0;SN41175
2018-06-28;0.0;SN41175
2018-06-29;0.0;SN41175
2018-06-30;0.0;SN41175
2018-07-01;0.0;SN41175
2018-07-02;0.0;SN41175
2018-07-03;0.0;SN41175
2018-07-04;0.0;SN41175
2018-07-05;0.0;SN41175
2018-07-06;0.0;SN41175
2018-07-07;0.0;SN41175
2018-07-08;0.0;SN41175
2018-07-09;0.0;SN41175
2018-07-10;11.6;SN41175
2018-07-11;0.0;SN41175
2018-07-12;0.0;SN41175
2018-07-13;0.8;SN41175
2018-07-14;0.0;SN41175
2018-07-15;0.0;SN41175
2018-07-16;0.0;SN41175
2018-07-17;0.0;SN41175
2018-07-18;0.0;SN41175
2018-07-19;0.0;SN41175
2018-07-20;0.0;SN41175
2018-07-21;0.0;SN41175
2018-07-22;0.0;SN41175
2018-07-23;0.0;SN41175
2018-07-24;0.0;SN41175
2018-07-25;0.0;SN41175
2018-07-26;0.0;SN41175
2018-07-27;0.0;SN41175
2018-07-28;0.0;SN41175
2018-07-29;32.6;SN41175
2018-07-30;1.1;SN41175
2018-07-31;9.6;SN41175
2018-08-01;31.7;SN41175
2018-08-02;0.0;SN41175
2018-08-03;0.1;SN41175
2018-08-04;0.0;SN41175
2018-08-05;0.0;SN41175
2018-08-06;0.0;SN41175
2018-08-07;6.8;SN41175
2018-08-08;8.2;SN41175
2018-08-09;4.5;SN41175
2018-08-10;22.5;SN41175
2018-08-11;25.6;SN41175
2018-08-12;0.0;SN41175
2018-08-13;0.0;SN41175
2018-08-14;1.0;SN41175
2018-08-15;0.0;SN41175
2018-08-16;9.6;SN41175
2018-08-17;24.6;SN41175
2018-08-18;7.8;SN41175
2018-08-19;4.6;SN41175
2018-08-20;0.5;SN41175
2018-08-21;0.0;SN41175
2018-08-22;6.0;SN41175
2018-08-23;5.0;SN41175
2018-08-24;1.6;SN41175
2018-08-25;3.6;SN41175
2018-08-26;3.8;SN41175
2018-08-27;14.6;SN41175
2018-08-28;20.5;SN41175
2018-08-29;0.1;SN41175
2018-08-30;9.6;SN41175
2018-08-31;0.0;SN41175
2019-06-01;8.5;SN41175
2019-06-02;0.9;SN41175
2019-06-03;3.5;SN41175
2019-06-04;0.1;SN41175
2019-06-05;10.7;SN41175
2019-06-06;4.8;SN41175
2019-06-07;3.5;SN41175
2019-06-08;0.1;SN41175
2019-06-09;29.8;SN41175
2019-06-10;3.4;SN41175
2019-06-11;0.0;SN41175
2019-06-12;20.5;SN41175
2019-06-13;7.7;SN41175
2019-06-14;11.0;SN41175
2019-06-15;0.0;SN41175
2019-06-16;4.8;SN41175
2019-06-17;0.0;SN41175
2019-06-18;0.7;SN41175
2019-06-19;0.0;SN41175
2019-06-20;6.6;SN41175
2019-06-21;1.7;SN41175
2019-06-22;7.8;SN41175
2019-06-23;0.0;SN41175
2019-06-24;0.0;SN41175
2019-06-25;0.1;SN41175
2019-06-26;13.0;SN41175
2019-06-27;0.0;SN41175
2019-06-28;0.0;SN41175
2019-06-29;0.0;SN41175
2019-06-30;0.0;SN41175
2019-07-01;4.2;SN41175
2019-07-02;3.2;SN41175
2019-07-03;0.0;SN41175
2019-07-04;0.4;SN41175
2019-07-05;0.5;SN41175
2019-07-06;2.0;SN41175
2019-07-07;4.1;SN41175
2019-07-08;18.5;SN41175
2019-07-09;0.1;SN41175
2019-07-10;0.7;SN41175
2019-07-11;0.0;SN41175
